,Timestamp,msTimestamp,,Region0R,Region1G,,,LedState
273,57939.59852,57939598.52,413258785,3622.061483,1426.184393,2,1,4
274,57939.62376,57939623.76,414079298,1986.644485,1957.787279,4,2,1
275,57939.64873,57939648.73,414900899,2605.966004,2102.116721,1,4,2
276,57939.67372,57939673.72,415721444,3620.831826,1425.592656,2,1,4
277,57939.69911,57939699.11,416543061,1988.507776,1957.988721,4,2,1
278,57939.72378,57939723.78,417362758,2606.547559,2101.72223,1,4,2
279,57939.7489,57939748.9,418183767,3621.913924,1424.958951,2,1,4
280,57939.77402,57939774.02,419005352,1987.688969,1958.244721,4,2,1
281,57939.79927,57939799.27,419825913,2604.235805,2099.649049,1,4,2
282,57939.8244,57939824.4,420648058,3619.555877,1425.198164,2,1,4
283,57939.84906,57939849.06,421468587,1986.809403,1958.37482,4,2,1
284,57939.87416,57939874.16,422290172,2605.21953,2099.405639,1,4,2
285,57939.89939,57939899.39,423110765,3621.257143,1424.312656,2,1,4
286,57939.92428,57939924.28,423932878,1985.828571,1956.419148,4,2,1
287,57939.94976,57939949.76,424753391,2606.677758,2100.803148,1,4,2
288,57939.97439,57939974.39,425574992,3619.561664,1424.472131,2,1,4
289,57939.99981,57939999.81,426395953,1986.751537,1956.956328,4,2,1
290,57940.02497,57940024.97,427217570,2607.317179,2100.559738,1,4,2
291,57940.04963,57940049.63,428038243,3621.16745,1425.428984,2,1,4
292,57940.07506,57940075.06,428858180,1987.975407,1959.172197,4,2,1
293,57940.09967,57940099.67,429679925,2604.695841,2100.920656,1,4,2
294,57940.12483,57940124.83,430500486,3621.795298,1425.227541,2,1,4
295,57940.15005,57940150.05,431322103,1987.240506,1959.14282,4,2,1
296,57940.17487,57940174.87,432142664,2605.922604,2099.976393,1,4,2
297,57940.19996,57940199.96,432963849,3620.982278,1424.875016,2,1,4
298,57940.22497,57940224.97,433784378,1987.483544,1958.36223,4,2,1
299,57940.25025,57940250.25,434604955,2605.135624,2099.858885,1,4,2
300,57940.27535,57940275.35,436212956,3620.611935,1425.319869,2,1,4
301,57940.30017,57940300.17,437033517,1986.904882,1959.826885,4,2,1
302,57940.32581,57940325.81,437854638,2606.188788,2100.316328,1,4,2
303,57940.35025,57940350.25,438675263,3622.214828,1425.000918,2,1,4
304,57940.37541,57940375.41,439496848,1987.908861,1960.150033,4,2,1
305,57940.40042,57940400.42,440317393,2605.766365,2101.067541,1,4,2
306,57940.42577,57940425.77,441137986,3623.369259,1425.512918,2,1,4
307,57940.45089,57940450.89,441959203,1987.269439,1957.065443,4,2,1
308,57940.47553,57940475.53,442780212,2605.262929,2099.019541,1,4,2
309,57940.50062,57940500.62,443601765,3619.382278,1424.203541,2,1,4
310,57940.52588,57940525.88,444422406,1988.198192,1958.563672,4,2,1
311,57940.55072,57940550.72,445243463,2605.404702,2100.056131,1,4,2
312,57940.57595,57940575.95,446064072,3622.142495,1425.609443,2,1,4
313,57940.60086,57940600.86,446884697,1987.289693,1958.832262,4,2,1
314,57940.62621,57940626.21,447706218,2604.609042,2100.463213,1,4,2
315,57940.65116,57940651.16,448526843,3619.483544,1425.135213,2,1,4
316,57940.67607,57940676.07,449348444,1987.382278,1956.431738,4,2,1
317,57940.70145,57940701.45,450168957,2605.439421,2102.301377,1,4,2
318,57940.72608,57940726.08,450990638,3621.060398,1425.609443,2,1,4
319,57940.75119,57940751.19,451811199,1986.632911,1956.217705,4,2,1
320,57940.77654,57940776.54,452632784,2605.129837,2101.537574,1,4,2
321,57940.80131,57940801.31,453453297,3620.033273,1424.912787,2,1,4
322,57940.82642,57940826.42,454273954,1987.145027,1958.798689,4,2,1
323,57940.85148,57940851.48,455095043,2605.262929,2099.510557,1,4,2
324,57940.87674,57940876.74,455916068,3619.55009,1425.664,2,1,4
325,57940.90193,57940901.93,456737701,1988.102712,1959.327475,4,2,1
